region,state,county,county2,poor_mental_health_days,poor_physical_health_days,poor_or_fair_health,adult_smoking,infant_mortality,high_school_graduation,premature_death,premature_ageadjusted_mortality,social_associations,homicide_rate,unemployment,low_birthweight,preventable_hospital_stays,children_in_singleparent_households,excessive_drinking,injury_deaths,mean_commute_minutes_x,children_in_poverty,diabetes,motor_vehicle_crash_deaths,severe_housing_problems
South,Georgia,Habersham County,"Habersham County, Georgia",,4.1,0.129,0.167,0,0.626,9124,370.9,8.276,11.2,0.107,0.07,34.28,0.509,0.186,112.1,18.9082,0.339,0.086,19.2,0.131
South,Georgia,"Hall County, GA","Hall County, GA, Georgia",,4.1,0.142,0.175,5.8,0.66,6160,323.1,10.549,2.8,0.076,0.06,35.55,0.334,0.169,75.3,18.6453,0.244,0.086,23.87,0.182
South,Georgia,Hancock County,"Hancock County, Georgia",,2.7,0.083,0.131,0,0,3451,220.2,17.387,0,0.032,0.03,80.75,0.068,0.201,59.3,15.252,0.155,0.086,28.06,0.143
South,Georgia,Haralson County,"Haralson County, Georgia",,3,0.149,0.191,5.3,0.838,7013,351.3,10.365,3.3,0.033,0.08,43.11,0.326,0.17,58.8,19.0523,0.158,0.086,14.74,0.16
South,Georgia,Harris County,"Harris County, Georgia",,2.8,0.12,0.11,4.5,0.941,4311,226,6.006,1.5,0.053,0.07,48.26,0.225,0.171,37.9,25.2864,0.097,0.086,12.56,0.136
South,Georgia,Hart County,"Hart County, Georgia",,3.2,0.107,0.169,7,0.89,4667,256.2,6.699,3.1,0.051,0.07,70.73,0.207,0.151,36.5,38.2837,0.081,0.086,16.3,0.114
South,Georgia,Heard County,"Heard County, Georgia",,3.7,0.132,0.156,4.3,0.806,5177,284,7.83,2,0.058,0.06,35.72,0.262,0.184,56.9,29.0574,0.145,0.086,20.81,0.138
South,Georgia,"Henry County, GA","Henry County, GA, Georgia",,3.1,0.103,0.239,0,0.876,5476,287.8,15.306,0,0.073,0.06,57.61,0.309,0.225,54.5,18.4167,0.201,0.086,18.76,0.204
South,Georgia,"Houston County, GA","Houston County, GA, Georgia",,3.1,0.105,0.183,0,0.956,3739,210.3,11.152,0,0.063,0.06,27.9,0.174,0.262,40.8,20.7207,0.119,0.086,29.1,0.144
South,Georgia,Irwin County,"Irwin County, Georgia",,2.5,0.117,0.079,0,0.914,5551,257.6,14.834,0,0.055,0.06,64.1,0.265,0.177,74.9,22.6985,0.202,0.086,22.08,0.181
